"Test Name", "Size (Kb)", "BufferType", "ParseSource", "Metric", "Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"118DirectBuffer","118","Direct","Buffer","Ops/ms", "thrpt", 3, 2, 423.034340, NaN, "ops/ms"
"118DirectBuffer","118","Direct","Buffer","GC-Collections", "thrpt", 3, 2, 13.500000, NaN, "GC Collections"
"118DirectBuffer","118","Direct","Buffer","GC-Time", "thrpt", 3, 2, 59.500000, NaN, "GC Time"
"118DirectBuffer","118","Direct","Buffer","JVMCPU", "thrpt", 3, 2, 20800.000000, NaN, "JVMCPU ms"
"118DirectBuffer","118","Direct","Buffer","MemAlloc", "thrpt", 3, 2, 3787641.445000, NaN, "Memory Allocated kB"
"118DirectBuffer","118","Direct","Buffer","ThreadCPU", "thrpt", 3, 2, 7123.000000, NaN, "ThreadCPU ms"
"1DirectBuffer","1","Direct","Buffer","Ops/ms", "thrpt", 3, 2, 397.174073, NaN, "ops/ms"
"1DirectBuffer","1","Direct","Buffer","GC-Collections", "thrpt", 3, 2, 11.500000, NaN, "GC Collections"
"1DirectBuffer","1","Direct","Buffer","GC-Time", "thrpt", 3, 2, 30.000000, NaN, "GC Time"
"1DirectBuffer","1","Direct","Buffer","JVMCPU", "thrpt", 3, 2, 15155.000000, NaN, "JVMCPU ms"
"1DirectBuffer","1","Direct","Buffer","MemAlloc", "thrpt", 3, 2, 8519124.230000, NaN, "Memory Allocated kB"
"1DirectBuffer","1","Direct","Buffer","ThreadCPU", "thrpt", 3, 2, 4968.500000, NaN, "ThreadCPU ms"
"56DirectBuffer","56","Direct","Buffer","Ops/ms", "thrpt", 3, 2, 401.789717, NaN, "ops/ms"
"56DirectBuffer","56","Direct","Buffer","GC-Collections", "thrpt", 3, 2, 9.500000, NaN, "GC Collections"
"56DirectBuffer","56","Direct","Buffer","GC-Time", "thrpt", 3, 2, 47.000000, NaN, "GC Time"
"56DirectBuffer","56","Direct","Buffer","JVMCPU", "thrpt", 3, 2, 17095.000000, NaN, "JVMCPU ms"
"56DirectBuffer","56","Direct","Buffer","MemAlloc", "thrpt", 3, 2, 2610231.390000, NaN, "Memory Allocated kB"
"56DirectBuffer","56","Direct","Buffer","ThreadCPU", "thrpt", 3, 2, 5599.500000, NaN, "ThreadCPU ms"
"614DirectBuffer","614","Direct","Buffer","Ops/ms", "thrpt", 3, 2, 392.841161, NaN, "ops/ms"
"614DirectBuffer","614","Direct","Buffer","GC-Collections", "thrpt", 3, 2, 20.500000, NaN, "GC Collections"
"614DirectBuffer","614","Direct","Buffer","GC-Time", "thrpt", 3, 2, 119.500000, NaN, "GC Time"
"614DirectBuffer","614","Direct","Buffer","JVMCPU", "thrpt", 3, 2, 49740.000000, NaN, "JVMCPU ms"
"614DirectBuffer","614","Direct","Buffer","MemAlloc", "thrpt", 3, 2, 8137363.915000, NaN, "Memory Allocated kB"
"614DirectBuffer","614","Direct","Buffer","ThreadCPU", "thrpt", 3, 2, 16336.000000, NaN, "ThreadCPU ms"
