"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferRead118Kb","avgt",3,2,7.001624,NaN,"us/op"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferRead118Kb:GC-Collections","avgt",3,2,10.000000,NaN,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferRead118Kb:GC-Time","avgt",3,2,80.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferRead118Kb:JVMCPU","avgt",3,2,18270.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferRead118Kb:MemAlloc","avgt",3,2,3787646.180000,NaN,"kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferRead118Kb:ThreadCPU","avgt",3,2,6859.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferRead1Kb","avgt",3,2,7.879134,NaN,"us/op"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferRead1Kb:GC-Collections","avgt",3,2,6.000000,NaN,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferRead1Kb:GC-Time","avgt",3,2,18.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferRead1Kb:JVMCPU","avgt",3,2,6100.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferRead1Kb:MemAlloc","avgt",3,2,3320472.220000,NaN,"kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferRead1Kb:ThreadCPU","avgt",3,2,1995.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferRead56Kb","avgt",3,2,6.943697,NaN,"us/op"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferRead56Kb:GC-Collections","avgt",3,2,5.000000,NaN,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferRead56Kb:GC-Time","avgt",3,2,36.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferRead56Kb:JVMCPU","avgt",3,2,9140.000000,NaN,"ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.DirectBufferRead56Kb:MemAlloc","avgt",3,2,1842517.000000,NaN,"kB"
